Unique ID,Leaf collected,Indumentum,Flower colour,Purple flushed,Node,Flower date,Height,Corolla size,Teeth,Branches,Leaf length,Internode length,Cauline ratio,Aborted node,Leaf circularity index,Capsule length,Capsule width,Calyx length,Calyx ratio,Notes
B1578,1,1,W,0,9,24/07/2018,20,8.3,4,0,5.1,2.2,0.431372549,,,,,,,
A1505,0,0,W,1,12,24/07/2018,86.1,5.7,4,4,4.1,7.4,1.804878049,,,,,,,
A1453,0,0,W,1,8,21/07/2018,85.4,6.5,3,3,5,20.1,4.02,,,,,,,
A496,0,1,W,1,12,20/07/2018,70.1,6.3,4,0,5.7,8.4,1.473684211,9,,,,,,
A179,0,1,W,1,10,24/07/2018,42,5,4,0,5.6,3,0.535714286,,,,,,,
A1028,0,0,W,0,8,20/07/2018,31.6,4.5,2,0,3,10,3.333333333,,,,,,,
B2009,1,1,W,0,9,23/07/2018,29.9,8.2,4,2,5.2,4,0.769230769,,,,,,,
A1508,0,0,V,1,8,22/07/2018,20,4.7,2,0,2.3,2,0.869565217,,,,,,,
B280,1,1,W,0,11,24/07/2018,37.5,9.6,3,0,5.3,2.1,0.396226415,10,,,,,,
A1749,0,1,W,1,10,23/07/2018,50,6.6,5,0,7,6.8,0.971428571,,,,,,,
B288,1,1,W,0,13,23/07/2018,41.9,10.5,4,2,6.1,4.3,0.704918033,12,,,,,,
A1343,0,1,V,1,10,23/07/2018,53,7.2,4,0,4.7,5.6,1.191489362,,,,,,,
A1680,0,0,W,1,9,24/07/2018,71.4,5.1,3,4,3.6,8.5,2.361111111,,,,,,,
A1046,0,0,W,1,9,24/07/2018,43.1,6.2,2,0,2.7,5.2,1.925925926,,,,,,,
A387,1,1,W,1,11,24/07/2018,46,6,4,0,4.5,5.1,1.133333333,,,,,,,
A1134,0,0,W,0,7,24/07/2018,30.9,4.7,2,0,3.3,8.3,2.515151515,,,,,,,
A1499,0,0,V,1,7,24/07/2018,9.9,3.7,2,0,2,0.9,0.45,,,,,,,
A1673,0,0,W,1,8,21/07/2018,69.5,5.1,3,2,4.5,13.4,2.977777778,,,,,,,
A104,0,0,W,1,8,17/07/2018,34.5,4.6,2,0,3.4,8.3,2.441176471,,,,,,,
B289,1,1,W,0,11,24/07/2018,33.1,7.6,4,0,4.9,3.7,0.755102041,10,,,,,,
B1608,1,1,W,0,10,23/07/2018,26.7,6.6,2,0,4.2,3,0.714285714,5,,,,,,
A811,1,1,W,1,10,23/07/2018,39.7,5.5,4,0,6.1,4,0.655737705,,,,,,,
A1057,0,0,W,1,11,24/07/2018,45.5,4.7,3,0,3.3,4.8,1.454545455,10,,,,,,
A1882,0,0,V,1,10,24/07/2018,77.5,6.7,3,3,3.7,7.8,2.108108108,9,,,,,,
B2017,1,1,W,0,10,23/07/2018,47.9,5.6,3,0,4.3,3.1,0.720930233,7,,,,,,
A1086,0,0,W,1,9,24/07/2018,45.2,5.7,3,0,3.5,5.3,1.514285714,7,,,,,,
A701,0,1,W,1,10,20/07/2018,57.4,6.1,5,0,6.3,9.1,1.444444444,,,,,,,
A872,0,0,W,0,11,24/07/2018,21.3,6.8,3,0,5,1.6,0.32,,,,,,,
A1647,1,1,W,0,9,25/07/2018,21.7,8.8,4,0,5.7,2.5,0.438596491,,,,,,,
A446,0,0,W,1,7,23/07/2018,28.8,4.2,2,0,3.3,9.6,2.909090909,,,,,,,
A1687,0,0,W,1,9,25/07/2018,52.6,5.9,3,2,3.5,5.3,1.514285714,,,,,,,
A206,1,1,W,0,9,25/07/2018,15.6,7.3,4,0,4.3,2.7,0.627906977,,,,,,,
B1590,1,1,W,0,8,25/07/2018,34.9,7.1,3,0,4.1,5.5,1.341463415,,,,,,,
A1857,1,1,W,0,9,25/07/2018,22.7,8.1,3,2,5,2.8,0.56,8,,,,,,
A1013,1,1,W,0,8,24/07/2018,18.2,6.9,3,0,4.2,2.3,0.547619048,,,,,,,
A1747,1,1,V,1,10,24/07/2018,56.1,6.3,4,1,6.5,5.6,0.861538462,,,,,,,
A1737,,,V,1,10,24/07/2018,44.8,6.6,3,1,4.9,5,1.020408163,,,,,,,
A776,0,1,W,1,10,24/07/2018,44.6,5.9,5,0,5.6,5.3,0.946428571,,,,,,,
B310,1,1,W,0,6,26/07/2018,28.9,7.1,2,0,4,5.6,1.4,5,,,,,,
A1065,0,0,W,1,10,24/07/2018,75.6,4.8,4,4,3.5,5.9,1.685714286,9,,,,,,
B1841,1,1,W,0,8,22/07/2018,43.6,6.6,3,0,4.9,5.5,1.12244898,5,,,,,,
