"","Germ_date","Trans_date","Unique_ID","Host_code","Population","Euphrasia_sp","Leaf collected","Indumentum","Flower colour","Purple flushed","Node","Flower date","Height","Corolla size","Teeth","Branches","Leaf length","Internode length","Cauline ratio","Euphrasia_sp2","Population2"
"432","17/04/2018","26/04/2018","B1225","PLA","R1764","Euphrasia rostkoviana",1,1,"W","0","8",2018-07-16,30.1,"8.9","4","0","6.6","3.8","0.575757576","Euphrasia rostkoviana","R1764"
"433","17/04/2018","26/04/2018","A765","LPE","T1761","Euphrasia vigursii",0,1,"W","1","10",2018-07-16,64.3,"5.8","5","1","7.2","8.6","1.194444444","Euphrasia tetraquetra","T1761"
"434","17/04/2018","26/04/2018","A804","PLA","T1761","Euphrasia vigursii",1,1,"W","1","9",2018-07-16,45.3,"5.6","4","0","5.9","7.7","1.305084746","Euphrasia tetraquetra","T1761"
"435","20/04/2018","01/05/2018","A1299","LCO","T1761","Euphrasia vigursii",0,1,"W","0","9",2018-07-16,71.9,"5.7","5","2","7.7","10.5","1.363636364","Euphrasia tetraquetra","T1761"
"436","13/04/2018","23/04/2018","A532","PMA","V1761","Euphrasia vigursii",0,1,"V","1","10",2018-07-17,44,"7.4","4","0","5.3","5.6","1.056603774","Euphrasia vigursii","V1761"
"437","13/04/2018","24/04/2018","B651","PLA","R1765","Euphrasia rostkoviana",1,1,"W","0","10",2018-07-17,28.1,"8","4","2","4.9","3.1","0.632653061","Euphrasia rostkoviana","R1765"
"438","09/05/2018","10/05/2018","A2000","OVU","M1768","Euphrasia micrantha",0,0,"V","1","5",2018-07-18,15.5,"5.4","2","0","1.9","3.4","1.789473684","Euphrasia micrantha","M1768"
"439","17/04/2018","26/04/2018","A1077","OVU","M1768","Euphrasia micrantha",0,0,"V","1","8",2018-07-18,32.3,"5.2","2","0","1.7","3.5","2.058823529","Euphrasia micrantha","M1768"
"440","20/04/2018","01/05/2018","A1452","ACU","M1768","Euphrasia micrantha",0,0,"W","1","7",2018-07-18,51.3,"5.8","3","0","4.6","12.6","2.739130435","Euphrasia micrantha","M1768"
"441","17/04/2018","26/04/2018","A953","PLA","A1763","Euphrasia anglica",1,1,"W","0","8",2018-07-18,18.2,"6.3","4","0","5","2.3","0.46","Euphrasia anglica","A1766"
"442","13/04/2018","24/04/2018","B672","PLA","R1762","Euphrasia rostkoviana",1,1,"W","0","9",2018-07-18,37.7,"6.8","4","0","5.7","6","1.052631579","Euphrasia rostkoviana","R1762"
"443","10/04/2018","19/04/2018","B311","PLA","M1787","Euphrasia montana",1,1,"W","0","9",2018-07-18,30,"6.9","3","0","3.6","1.6","0.444444444","Euphrasia montana","M1787"
"444","13/04/2018","24/04/2018","B673","PLA","R1762","Euphrasia rostkoviana",1,1,"W","0","10",2018-07-17,64.3,"8.4","3","0","4.6","3.9","0.847826087","Euphrasia rostkoviana","R1762"
"445","17/04/2018","26/04/2018","A869","ACU","A1763","Euphrasia anglica",0,1,"W","0","8",2018-07-17,31.1,"7.3","3","2","6.2","4.2","0.677419355","Euphrasia anglica","A1766"
"446","17/04/2018","26/04/2018","B1207","PLA","R1765","Euphrasia rostkoviana",1,1,"W","0","9",2018-07-18,25.3,"7.9","4","3","5.6","3.1","0.553571429","Euphrasia rostkoviana","R1765"
"447","13/04/2018","24/04/2018","B648","PLA","R1765","Euphrasia rostkoviana",1,1,"W","0","8",2018-07-17,19,"7.1","5","1","6","2.1","0.35","Euphrasia rostkoviana","R1765"
"448","20/04/2018","01/05/2018","A1481","LPE","M1768","Euphrasia micrantha",0,0,"W","1","7",2018-07-14,52.2,"5.1","2","3","3.4","9.9","2.911764706","Euphrasia micrantha","M1768"
"449","13/04/2018","24/04/2018","B643","HLA","R1765","Euphrasia rostkoviana",1,1,"W","0","10",2018-07-18,27.3,"5.6","3","1","4.8","3.8","0.791666667","Euphrasia rostkoviana","R1765"
"450","10/04/2018","19/04/2018","A261","CVU","M1769","Euphrasia micrantha",0,0,"W","1","8",2018-07-18,14.1,"5.6","2","0","2.6","2.7","1.038461538","Euphrasia micrantha","M1769"
"451","13/04/2018","24/04/2018","B647","PLA","R1765","Euphrasia rostkoviana",1,1,"W","0","8",2018-07-17,24.1,"8.1","4","2","6.1","2.2","0.360655738","Euphrasia rostkoviana","R1765"
"452","17/04/2018","26/04/2018","B1223","HLA","R1764","Euphrasia rostkoviana",1,1,"W","0","7",2018-07-18,13.9,"6.5","4","0","5.6","1.3","0.232142857","Euphrasia rostkoviana","R1764"
"453","17/04/2018","26/04/2018","A996","ACU","A1763","Euphrasia anglica",0,1,"W","0","7",2018-07-17,16.9,"7.2","4","3","4.7","0.9","0.191489362","Euphrasia anglica","A1766"
"454","10/04/2018","19/04/2018","A240","LPE","M1769","Euphrasia micrantha",0,0,"V","0","7",2018-07-17,35.8,"5.6","2","1","4.6","9.6","2.086956522","Euphrasia micrantha","M1769"
